,entity,year,source,production_percent,consumption_percent,renewable,cp_ratio,production_relative_to_source,consumption_relative_to_source,cp_ratio_relative_to_source,date
0,Africa,1985,coal,53.86948457240759,35.4,False,0.6571438409145681,0.46189493757150935,0.41333529865214863,-0.046351010161725076,1985-01-01
1,Africa,1986,coal,52.60020944507768,35.372,False,0.6724688052227918,0.4445336835764389,0.41283560887265475,-0.017314899779603713,1986-01-01
2,Africa,1987,coal,54.31661091163633,35.295,False,0.6498012193253151,0.4679544503551073,0.41146012148970407,-0.060465895160774094,1987-01-01
3,Africa,1988,coal,51.6258000547471,35.37,False,0.6851225542750238,0.4310409016221183,0.4127999068090313,0.006237962349037262,1988-01-01
4,Africa,1989,coal,51.26748421921082,33.1,False,0.6456333971542308,0.4260423328326304,0.37139247147971327,-0.06853725832991607,1989-01-01
5,Africa,1990,coal,51.63458058132864,33.665,False,0.6519855418787589,0.4311631398893345,0.38186864993661507,-0.05625301260242303,1990-01-01
6,Africa,1991,coal,50.70369019778571,32.75,False,0.6459095949870377,0.41813633935448186,0.36484389556959096,-0.06800103452964476,1991-01-01
7,Africa,1992,coal,50.42995260852145,32.397,False,0.6424158327391664,0.41427947306025925,0.35819258142299853,-0.07479809214578487,1992-01-01
8,Africa,1993,coal,51.87489262956441,32.779,False,0.6318856452209538,0.43450400427772096,0.36538822917062685,-0.09547123890812322,1993-01-01
9,Africa,1994,coal,51.15615017174386,32.664,False,0.6385156015520884,0.42448510181246496,0.3632278058285287,-0.08242226104412241,1994-01-01
10,Africa,1995,coal,51.52319490114501,32.363,False,0.6281248680733653,0.42961159217206185,0.35754944331753113,-0.10292326903290991,1995-01-01
11,Africa,1996,coal,51.62173246294051,31.956,False,0.619041602738563,0.43098427050061294,0.3498161210167357,-0.12107340788773059,1996-01-01
12,Africa,1997,coal,51.39505035675823,32.15,False,0.6255466193112195,0.4278242062383733,0.3535102690409011,-0.10805324226834079,1997-01-01
13,Africa,1998,coal,49.64205533895355,30.93,False,0.6230604230387211,0.40311043091771187,0.33003087098245876,-0.11301643523231861,1998-01-01
14,Africa,1999,coal,47.75184131087288,30.954,False,0.648226312331791,0.37589167823677044,0.3304985503545901,-0.0635107541086511,1999-01-01
15,Africa,2000,coal,47.48351461628973,30.171,False,0.6353994695592629,0.37197782274463354,0.3151164439877836,-0.08854140344103965,2000-01-01
16,Africa,2001,coal,46.98428716226731,29.406,False,0.6258688122359279,0.36466197400725364,0.29983390410022176,-0.10741122726942716,2001-01-01
17,Africa,2002,coal,46.04872302335426,27.847,False,0.6047290385420026,0.3508303968722088,0.26786669350744535,-0.15011528344154076,2002-01-01
18,Africa,2003,coal,46.51932051098592,28.936,False,0.6220211233129798,0.3578078272731718,0.29031548573312016,-0.11509597358393345,2003-01-01
19,Africa,2004,coal,45.74399479846323,29.702,False,0.6493092728534029,0.3462903517512363,0.3057776042818514,-0.06141634121863531,2004-01-01
20,Africa,2005,coal,44.76565650999989,27.382,False,0.6116742640395171,0.33159563223053873,0.25810666495574985,-0.1359542575588841,2005-01-01
21,Africa,2006,coal,44.010228300256536,27.286,False,0.619992239391336,0.32012216899123763,0.2560782693565483,-0.11916373202851673,2006-01-01
22,Africa,2007,coal,43.34707433035808,26.787,False,0.6179655816180366,0.3099564653486117,0.24545928073111578,-0.12323783359091443,2007-01-01
23,Africa,2008,coal,41.56244910768815,27.755,False,0.6677902913778467,0.28214725498526805,0.26594415120643,-0.026119219718332077,2008-01-01
24,Africa,2009,coal,39.50214978288243,27.155,False,0.6874309410817725,0.24917553850643145,0.2533028421952841,0.01049423185317855,2009-01-01
25,Africa,2010,coal,38.317861706878986,26.072,False,0.6804137506274115,0.22977480921805407,0.23001691066793337,-0.0024827348354305476,2010-01-01
26,Africa,2011,coal,37.72741355392105,25.547,False,0.6771468699673124,0.21997372508946067,0.2185018876782526,-0.00856352228021932,2011-01-01
27,Africa,2012,coal,35.45638256501068,24.069,False,0.6788340563470776,0.18143359056242395,0.1852357518631168,-0.005419953650037049,2012-01-01
28,Africa,2013,coal,33.80785814951773,23.75,False,0.702499398067866,0.1525644190689716,0.17788308516723308,0.03797714132729389,2013-01-01
29,Africa,2014,coal,32.82263147229808,24.151,False,0.7358032831823117,0.13492555637550352,0.18711556314035213,0.09692496294166028,2014-01-01
30,Africa,2015,coal,31.348992480211763,22.485,False,0.7172479311478055,0.1079690649146232,0.14807927208596558,0.06438129184551895,2015-01-01
31,Africa,2016,coal,31.12832097246553,23.254,False,0.7470367586022151,0.10387070233126322,0.16632256703395096,0.11627077509525494,2016-01-01
32,Africa,2017,coal,30.156047865445974,22.653,False,0.7511925999413447,0.08561337785055272,0.1520988530986313,0.12336107522450757,2017-01-01
33,Africa,2018,coal,30.33458915969824,22.716,False,0.7488481179161608,0.08899088030807994,0.15360122612933927,0.11936553898137839,2018-01-01
34,Africa,2019,coal,29.140672396139905,22.507,False,0.7723569207339694,0.06618536445251462,0.1486067481250367,0.15892262730937493,2019-01-01
55,Argentina,1985,coal,1.3398455862175405,2.292,False,1.710644885930807,-0.8542457667849676,-0.6699802976353454,1.152617794084823,1985-01-01
56,Argentina,1986,coal,2.0664110232685835,2.372,False,1.147883926910168,-0.7961107823126089,-0.6628089418623992,0.6672097390082506,1986-01-01
